OTUId	LIU.CIRCHESNREPEATS.N04231CT00.RAV752.H1	LIU.CIRCHESNREPEATS.N14551M600.RAV751.H5	LIU.CIRCHESNREPEATS.N06891Y100.RAV752.D5	LIU.CIRCHESNREPEATS.M19165M600.RAV752.A5	LIU.CIRCHESNREPEATS.N06299CT00.RAV752.A2	LIU.CIRCHESNREPEATS.L17774SN00.RAV752.A6	LIU.CIRCHESNREPEATS.N09846SN00.RAV752.B7	LIU.CIRCHESNREPEATS.N09391SN00.RAV752.F5	LIU.CIRCHESNREPEATS.L87107IM00.RAV751.H3	LIU.CIRCHESNREPEATS.N08354M600.RAV752.E5	LIU.CIRCHESNREPEATS.L08239SN00.RAV752.H5	LIU.CIRCHESNREPEATS.M04248CT00.RAV752.C3	LIU.CIRCHESNREPEATS.N18747SN02.RAV752.E2	LIU.CIRCHESNREPEATS.N15954SN00.RAV751.G5	LIU.CIRCHESNREPEATS.L19198M600.RAV752.A4	LIU.CIRCHESNREPEATS.L13716Y100.RAV751.A6	LIU.ctrl.PCRPOSFECAL.RAV752.F12	LIU.CIRCHESNREPEATS.M21045Y100.RAV752.E6	LIU.CIRCHESNREPEATS.L06734CT00.RAV751.D6	LIU.CIRCHESNREPEATS.N18551Y100.RAV752.F7	LIU.CIRCHESNREPEATS.N20766Y100.RAV752.H7	LIU.CIRCHESNREPEATS.M02141CT00.RAV751.H6	LIU.CIRCHESNREPEATS.L02491Y100.RAV752.G2	LIU.CIRCHESNREPEATS.L73065PR00.RAV751.B1	LIU.CIRCHESNREPEATS.M07845SN00.RAV752.D6	LIU.CIRCHESNREPEATS.L89814PR00.RAV751.B2	LIU.CIRCHESNREPEATS.L04645CT00.RAV752.G5	LIU.CIRCHESNREPEATS.N11019M600.RAV752.C7	LIU.ctrl.PCRPOSVAG.RAV752.E12	LIU.CIRCHESNREPEATS.N09294Y100.RAV752.A7	LIU.CIRCHESNREPEATS.M20862SN00.RAV752.F1	LIU.CIRCHESNREPEATS.N06794CT00.RAV752.C5	LIU.CIRCHESNREPEATS.M81823PR00.RAV751.A3	LIU.CIRCHESNREPEATS.M21346SN00.RAV751.D5	LIU.CIRCHESNREPEATS.N00223CT00.RAV752.G6	LIU.CIRCHESNREPEATS.M03382M600.RAV752.B4	LIU.CIRCHESNREPEATS.M05730CT01.RAV752.A1	LIU.CIRCHESNREPEATS.N02663M600.RAV752.G1	LIU.CIRCHESNREPEATS.N08192SN00.RAV752.D2	LIU.CIRCHESNREPEATS.M08565Y100.RAV752.B1	LIU.CIRCHESNREPEATS.L04679M600.RAV752.F3	LIU.CIRCHESNREPEATS.M03780Y100.RAV752.A3	LIU.CIRCHESNREPEATS.M20561SN00.RAV752.B5	LIU.CIRCHESNREPEATS.L07925SN00.RAV752.F4	LIU.CIRCHESNREPEATS.M03780CT00.RAV752.B3	LIU.CIRCHESNREPEATS.N00914Y100.RAV752.D3	LIU.CIRCHESNREPEATS.M69843IM00.RAV751.D4	LIU.CIRCHESNREPEATS.N19352SN00.RAV752.A8	LIU.CIRCHESNREPEATS.N85662IM00.RAV751.B5	LIU.CIRCHESNREPEATS.N17019SN00.RAV752.D7	LIU.CIRCHESNREPEATS.L87694PR00.RAV751.H1	LIU.CIRCHESNREPEATS.L82241PR00.RAV751.E1	LIU.CIRCHESNREPEATS.M09138SN00.RAV752.C1	LIU.CIRCHESNREPEATS.N11784SN00.RAV751.F5	LIU.CIRCHESNREPEATS.M15563SN01.RAV752.E1	LIU.CIRCHESNREPEATS.L88738PR00.RAV751.A2	LIU.CIRCHESNREPEATS.N19035SN00.RAV752.G7	LIU.CIRCHESNREPEATS.N00516CT00.RAV752.H6	LIU.CIRCHESNREPEATS.L17774Y100.RAV752.H3	LIU.CIRCHESNREPEATS.M03803Y100.RAV752.G4	LIU.CIRCHESNREPEATS.N11019SN00.RAV752.E4	LIU.CIRCHESNREPEATS.N65690PR00.RAV751.C3	LIU.CIRCHESNREPEATS.N15637SN00.RAV752.E3	LIU.CIRCHESNREPEATS.L87107PR00.RAV751.G1	LIU.CIRCHESNREPEATS.M08379Y100.RAV752.H4	LIU.CIRCHESNREPEATS.M18940Y100.RAV752.D4	LIU.CIRCHESNREPEATS.L31932PR00.RAV751.A1	LIU.CIRCHESNREPEATS.M80933PR00.RAV751.H2	LIU.CIRCHESNREPEATS.N68946IM00.RAV751.A5	LIU.CIRCHESNREPEATS.M04434CT01.RAV752.C6	LIU.CIRCHESNREPEATS.N64718PR00.RAV751.B3	LIU.CIRCHESNREPEATS.M12233Y100.RAV752.D1	LIU.CIRCHESNREPEATS.M12411SN00.RAV751.C5	LIU.CIRCHESNREPEATS.M69843PR00.RAV751.G2	LIU.CIRCHESNREPEATS.M21752Y100.RAV752.F6	LIU.CIRCHESNREPEATS.L81026PR00.RAV751.D1	LIU.CIRCHESNREPEATS.M87360IM00.RAV751.F4	LIU.CIRCHESNREPEATS.L91168PR00.RAV751.D2	LIU.CIRCHESNREPEATS.N07503Y100.RAV752.C2	LIU.CIRCHESNREPEATS.N21509M600.RAV752.F2	LIU.CIRCHESNREPEATS.M04379M600.RAV752.C4	LIU.CIRCHESNREPEATS.L04645Y100.RAV752.H2	LIU.ctrl.PCRNTC2.RAV752.H12	LIU.CIRCHESNREPEATS.M69796PR00.RAV751.F2	LIU.CIRCHESNREPEATS.N07503SN00.RAV752.B2	LIU.CIRCHESNREPEATS.L89830PR00.RAV751.C2	LIU.CIRCHESNREPEATS.N65690IM00.RAV751.H4	LIU.CIRCHESNREPEATS.L73065IM00.RAV751.E3	LIU.CIRCHESNREPEATS.L17740M600.RAV752.G3	LIU.CIRCHESNREPEATS.L80754IM00.RAV751.F3	LIU.CIRCHESNREPEATS.L91207PR00.RAV751.E2	LIU.CIRCHESNREPEATS.M00434CT00.RAV752.B6	LIU.CIRCHESNREPEATS.L83725PR00.RAV751.F1	LIU.CIRCHESNREPEATS.M69796IM00.RAV751.C4	LIU.CIRCHESNREPEATS.N17467SN00.RAV752.E7	LIU.CIRCHESNREPEATS.M00531CT00.RAV751.G6	LIU.CIRCHESNREPEATS.L80754PR00.RAV751.C1	LIU.CIRCHESNREPEATS.N68946PR00.RAV751.D3	LIU.CIRCHESNREPEATS.M81823IM00.RAV751.E4	LIU.CIRCHESNREPEATS.L20031Y100.RAV751.B6	LIU.CIRCHESNREPEATS.L15693SN00.RAV751.E6	LIU.CIRCHESNREPEATS.N12399SN00.RAV751.E5	LIU.CIRCHESNREPEATS.L21028Y100.RAV751.F6	LIU.CIRCHESNREPEATS.L81026IM00.RAV751.G3	LIU.CIRCHESNREPEATS.M02743Y100.RAV751.A7	LIU.ctrl.PCRNTC1.RAV752.G12	LIU.CIRCHESNREPEATS.N10030Y100.RAV751.C6	LIU.CIRCHESNREPEATS.L91168IM00.RAV751.B4	LIU.CIRCHESNREPEATS.L89814IM00.RAV751.A4	LIU.CIRCHESNREPEATS.N64718IM00.RAV751.G4
OTU_13826	0	0	1685	55	875	266	3218	6224	0	109	50	3	0	2	1494	0	0	0	107	14	42	0	2	0	2675	0	1	5	0	312	352	2	0	4	1	0	12	0	2	0	1	1	29	1	4	1	0	7	0	6	0	0	1	9	3	1	4	60	1	2	1	0	0	0	0	0	0	0	0	5	1	24	0	0	1	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15524	1485	16078	82	7319	510	534	38455	234	2056	2589	144394	21843	2111	163	77	27293	32	355618	43	41051	548	11627	106	1787	22386	2149	57776	3229	27376	2019	351	12547	8395	25	6736	26896	6763	6058	2569	163	52	2653	776	18494	426	661	4537	40056	53	10330	22755	1162	3715	787	1171	4298	940	526	23	278	138	1900	828	4993	664	342	1236	5788	1101	801	2507	29	677	3803	2240	918	539	1315	228	22	67	192	3	1378	40	1473	20	830	28	1195	1301	411	1555	394	574	582	1896	1118	381	65	162	26	30	244	76	9	50	115	36	35
OTU_12446	67	197	3	74	14	13	2709	39	44	9795	5950	14	27165	206	10	22	1	86	1	32	312	199	210	180	1954	243	3916	9	31	15	10	1724	3035	0	2	453	365	100	87	16	5	254	111	735	191	209	84	30	0	1776	302	87	47	148	357	322	238	22	19	42	14	269	3	117	55	14	87	546	1	7	350	2	420	194	6	76	355	170	149	3	3	146	0	77	7	209	1	70	162	27	100	72	50	72	2	188	155	178	244	3	11	6	0	19	1	0	1	13	5	1
OTU_419	0	0	1	1	57	7199	0	3937	0	1	37	0	0	0	0	7	0	1	0	1	3	0	0	0	4	0	3	5	0	8091	61	2	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	2	0	3	3	50	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15283	17	0	0	1	29052	58	0	126	0	0	1	18	5	0	6	20	0	0	0	0	0	0	3	1	0	0	13	0	0	0	16213	10	0	0	0	1	185	54	18	8	2	11	21	250	4	6	0	0	0	0	0	0	20	52	6	7	0	1	3	10	10	0	0	0	4	15	0	0	0	0	0	4	0	0	0	0	0	0	10	6	3	9	0	0	11	0	0	0	15	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11972	125	410	29	239	32	57	2600	41	1	6464	3515	600	2340	4143	11	48	0	101	10	28	626	1335	8055	98	5408	138	63836	7095	2120	132	149	3390	1740	9	18	528	27	4840	48	344	6	350	729	189	161	139	45	30	7	601	37	13	205	706	170	196	429	81	9	51	4451	170	2	26	2261	399	39	74	135	150	171	12	1137	21	177	29	40	84	194	6	3	1127	1	6	9	103	1	24	80	20	26	43	12	32	37	72	77	82	152	10	3	3	5	1	11	3	6	9	0	2
OTU_5980	2	0	0	1671	2	9	0	0	0	0	0	2	1	0	42870	0	0	0	1	0	0	0	0	0	3	0	3	0	0	5	4	1	0	0	0	1	30	1	2	2	1	1	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_5655	38	167	198	14794	7591	720	27035	97	2273	75	137	89	175	99	39	139436	6	7700	89	220213	342	499	13	183	612	146	646	64	332	191	3182	130	20	90	963	79	43202	82	64	52	172	52	1539	11479	138	11	296	5366	120	22	443	523	176	153	24590	143	47	1374	16	63	32	223	4501	674	33	353	55	6706	3281	2698	160	75	142	2217	1603	280	153	840	28	17	5	43	1	900	37	349	5	1348	42	7435	1038	207	526	20	55	592	429	633	14	99	28	47	40	145	142	0	100	12	20	6
OTU_11738	1144	339	10	96	56	17	607	15	16	9337	3500	117	28254	1205	23	207	0	3233	4	18	124	908	3995	351	1301	499	1970	32	193	34	16	5241	6313	2	145	5559	137	139	15	1171	8	825	142	2241	35	157	142	10	4	4093	322	103	303	344	348	664	131	15	9	118	25	544	3	125	5013	1264	178	763	170	983	705	1	773	273	74	123	59	282	103	3	5	483	0	89	12	413	1	141	1312	112	182	661	69	172	7	67	293	333	573	8	11	10	3	21	9	0	1	35	13	4
OTU_5994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10572	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_3319	2	20	131815	17	714	48553	27	38180	0	32	340	1	0	0	12	29	2	20	26	49	4501	2	0	0	81446	0	74	85	0	31208	786	105	3	89	13	0	4	2	42	4	1	13	77	30	1	3	0	67	0	16	0	0	1381	26	0	10	59	484	3	2	2	0	2	0	0	14	0	0	52	123	0	1513	1	0	34	39	0	14	2	0	0	6	0	0	0	0	0	0	2	0	0	74	8	0	14	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
OTU_5660	169	1121	30366	24983	8851	75885	23178	92477	131	143	16056	417	33	84	13957	2222	12	20060	16999	25570	570	21620	12	109	22593	140	26291	1053	5924	43321	5824	1358	88	220	73	375	550	270	363	52	48	66	1266	1214	65	27	287	4419	33	13584	28	28	1976	579	68	438	73	1404	137	217	9	116	352	9	12	26	121	18	74	174	171	398	29	8	281	32	36	66	34	23	47	62	4	15	24	67	1	27	96	13	23	225	30	29	110	68	40	66	4	29	24	41	27	3	55	1	42	7	3	0
OTU_9188	0	0	0	0	878	1	99	1	0	0	3	0	0	0	0	0	0	0	0	0	105	0	0	0	144	0	0	0	0	0	245	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5431	18	6	4750	327	7233	411	2656	1272	0	132	912	30	0	3	7	12	0	10	8751	927	139	10	0	0	1900	0	1	12	0	480	2794	13	0	95	0	6	63	16	12	3	3	2	209	48	1	0	0	6	2	244	0	0	291	9	3	2	2	25	1	7	3	0	17	0	1	3	0	0	0	3	0	66	4	0	5	1	2	5	1	2	1	3	0	0	1	0	0	0	6	0	0	19	3	0	1	0	1	0	0	1	1	0	1	0	6	0	0	0	0	0
OTU_304	126	295	4603	2116	49	650	181	3661	19	377	13266	10068	15	20	38578	474	0	21309	8	16942	332	27	3	394	10694	578	46415	622	9	653	54	203	181	5	20	37	293	420	540	24	15	590	564	172	73	3	2	89	1	4403	32	10	1398	33	13	1571	264	174	3	59	9	367	0	13	3	16	456	7	22	33	585	55	22	5	144	38	29	146	120	3	1	10	0	6	7	242	0	52	16	6	75	40	9	85	123	0	172	225	4	2	10	3	1	1	3	0	1	30	4	2
